25632423;41.151;-8.602248;-0.1501376;0.7182205
25632424;41.15095;-8.603686;-0.1501627;0.7182196
25632425;41.15326;-8.603552;-0.1501603;0.7182599
25632426;41.15328;-8.602441;-0.1501409;0.7182602
25632427;41.15326;-8.600788;-0.1501121;0.7182599
25632428;41.15104;-8.601172;-0.1501188;0.7182211
25632429;41.15107;-8.600133;-0.1501006;0.7182217
25632432;41.14898;-8.602092;-0.1501348;0.7181851
25632433;41.1492;-8.603171;-0.1501537;0.7181889
25632438;41.14896;-8.601921;-0.1501319;0.7181848
25632439;41.1495;-8.601839;-0.1501304;0.7181942
25632440;41.15015;-8.601228;-0.1501197;0.7182056
25632444;41.15056;-8.600702;-0.1501106;0.7182127
25632445;41.15228;-8.60487;-0.1501833;0.7182428
25632446;41.15363;-8.604746;-0.1501811;0.7182663
25632447;41.15482;-8.604693;-0.1501802;0.7182871
25632448;41.1547;-8.603825;-0.1501651;0.718285
25632449;41.15458;-8.603035;-0.1501513;0.718283
25632450;41.15508;-8.605576;-0.1501956;0.7182917
25632451;41.15471;-8.605831;-0.1502001;0.7182851
25632452;41.15442;-8.605941;-0.150202;0.7182801
25632453;41.15389;-8.606207;-0.1502066;0.7182709
25632454;41.15355;-8.606226;-0.150207;0.7182649
25632463;41.15562;-8.602601;-0.1501437;0.7183012
25632466;41.15328;-8.59971;-0.1500932;0.7182602
25632467;41.15385;-8.596047;-0.1500293;0.7182702
25632521;41.15453;-8.599478;-0.1500892;0.718282
25632522;41.15454;-8.600574;-0.1501083;0.7182822
26015868;41.16657;-8.585238;-0.1498407;0.7184922
26015870;41.16661;-8.585885;-0.149852;0.7184929
26015872;41.16668;-8.586287;-0.149859;0.7184942
26015874;41.16702;-8.587144;-0.1498739;0.7185
26015876;41.16843;-8.589648;-0.1499176;0.7185246
26015878;41.16951;-8.59133;-0.149947;0.7185436
26015879;41.17123;-8.593703;-0.1499884;0.7185736
26015880;41.17103;-8.59364;-0.1499873;0.7185701
26015882;41.17131;-8.594064;-0.1499947;0.7185749
26015884;41.17165;-8.594792;-0.1500074;0.7185808
26015888;41.17176;-8.595296;-0.1500162;0.7185829
26015931;41.17294;-8.627668;-0.1505812;0.7186034
26015932;41.17284;-8.62756;-0.1505793;0.7186016
26015933;41.17276;-8.628671;-0.1505987;0.7186002
26015934;41.17258;-8.628894;-0.1506026;0.7185971
26015935;41.17148;-8.634761;-0.150705;0.7185779
26015936;41.17134;-8.634708;-0.1507041;0.7185755
26015937;41.17134;-8.635383;-0.1507159;0.7185754
26015938;41.1712;-8.635322;-0.1507148;0.718573
26016411;41.17068;-8.63722;-0.1507479;0.7185639
26016412;41.17073;-8.636739;-0.1507395;0.7185648
26016413;41.17046;-8.637659;-0.1507556;0.71856
26016414;41.17056;-8.637136;-0.1507464;0.7185618
26016415;41.17005;-8.638339;-0.1507675;0.7185529
26016416;41.16993;-8.638216;-0.1507653;0.7185507
26016417;41.16877;-8.640096;-0.1507981;0.7185306
26016418;41.16866;-8.639974;-0.150796;0.7185286
26016419;41.16708;-8.642434;-0.1508389;0.7185011
26016421;41.1666;-8.643126;-0.150851;0.7184926
26016422;41.16558;-8.644771;-0.1508797;0.7184749
26016423;41.16586;-8.64447;-0.1508745;0.7184797
26016424;41.16504;-8.645858;-0.1508987;0.7184654
26016425;41.16468;-8.647214;-0.1509224;0.7184591
26016426;41.16455;-8.647113;-0.1509206;0.7184569
26016427;41.1642;-8.648056;-0.1509371;0.7184507
26016428;41.1641;-8.647943;-0.1509351;0.7184491
26016429;41.16359;-8.648691;-0.1509481;0.7184401
26016430;41.16352;-8.648569;-0.150946;0.718439
26016431;41.16296;-8.649179;-0.1509567;0.7184293
26016432;41.1629;-8.648995;-0.1509534;0.7184281
26016435;41.16162;-8.649414;-0.1509608;0.7184058
26016436;41.16161;-8.649239;-0.1509577;0.7184056
26016437;41.16112;-8.649332;-0.1509593;0.718397
26016438;41.16058;-8.648925;-0.1509522;0.7183877
26016439;41.15997;-8.648699;-0.1509483;0.718377
26016440;41.16;-8.648518;-0.1509451;0.7183776
26016441;41.15867;-8.647618;-0.1509294;0.7183543
26016442;41.15879;-8.647492;-0.1509272;0.7183564
26016443;41.1571;-8.646398;-0.1509081;0.7183269
26016444;41.15718;-8.646188;-0.1509044;0.7183284
26016445;41.15662;-8.646092;-0.1509028;0.7183185
26016446;41.15672;-8.645885;-0.1508992;0.7183203
26016447;41.15611;-8.645827;-0.1508982;0.7183096
26016448;41.15609;-8.645601;-0.1508942;0.7183093
26016450;41.15383;-8.644693;-0.1508784;0.7182699
26016451;41.15322;-8.644477;-0.1508746;0.7182593
26016452;41.15326;-8.644324;-0.1508719;0.7182599
26016453;41.15274;-8.644059;-0.1508673;0.7182508
26016454;41.15281;-8.64394;-0.1508652;0.7182519
26016455;41.15222;-8.643554;-0.1508585;0.7182418
26016456;41.15234;-8.643374;-0.1508553;0.7182438
26016457;41.15145;-8.642298;-0.1508366;0.7182283
26016458;41.15185;-8.642632;-0.1508424;0.7182353
26016459;41.15114;-8.641862;-0.1508289;0.7182229
26016460;41.15124;-8.641754;-0.1508271;0.7182246
26016461;41.15072;-8.641464;-0.150822;0.7182155
26016462;41.15082;-8.641351;-0.15082;0.7182173
26016463;41.1501;-8.641091;-0.1508155;0.7182048
26016464;41.15031;-8.641046;-0.1508147;0.7182085
26016465;41.14975;-8.64096;-0.1508132;0.7181986
26016466;41.14978;-8.640836;-0.150811;0.7181991
26016467;41.14845;-8.640632;-0.1508075;0.718176
26016468;41.14847;-8.640497;-0.1508051;0.7181762
26016485;41.13819;-8.636422;-0.150734;0.7179968
26016486;41.13825;-8.636271;-0.1507314;0.717998
26016487;41.13752;-8.636002;-0.1507267;0.7179852
26016488;41.13757;-8.635854;-0.1507241;0.717986
26016489;41.13671;-8.635666;-0.1507208;0.7179711
26016490;41.13674;-8.635526;-0.1507184;0.7179716
26016491;41.13585;-8.635463;-0.1507173;0.717956
26016492;41.13585;-8.63531;-0.1507146;0.7179561
26016493;41.13516;-8.635435;-0.1507168;0.717944
26016494;41.13515;-8.635295;-0.1507143;0.7179439
26016495;41.13384;-8.635482;-0.1507176;0.7179209
26016496;41.13384;-8.635356;-0.1507154;0.7179209
26016497;41.12889;-8.635735;-0.150722;0.7178345
26016750;41.16747;-8.64189;-0.1508294;0.7185079
26016751;41.16572;-8.644428;-0.1508737;0.7184773
26016893;41.15308;-8.644742;-0.1508792;0.7182568
26016895;41.15167;-8.644795;-0.1508801;0.7182321
26016908;41.15193;-8.643605;-0.1508594;0.7182366
26016909;41.15175;-8.644233;-0.1508703;0.7182335
36730962;41.13066;-8.590895;-0.1499394;0.7178655
36730965;41.1273;-8.601518;-0.1501248;0.7178069
60795248;41.16986;-8.637495;-0.1507527;0.7185496
90378707;41.15886;-8.628823;-0.1506014;0.7183577
90378710;41.15795;-8.630327;-0.1506276;0.7183417
90378711;41.15786;-8.630335;-0.1506278;0.7183401
90378713;41.15697;-8.629408;-0.1506116;0.7183247
90378715;41.15731;-8.628161;-0.1505898;0.7183305
90378716;41.15778;-8.627921;-0.1505856;0.7183387
90379359;41.1553;-8.672119;-0.151357;0.7182955
90379613;41.15563;-8.672743;-0.1513679;0.7183013
